snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_21d_return,sora_level_realized,sora_fwd_21d_level,sora_fwd_21d_change,sora_fwd_21d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2024-08-13,11696,2024-09-18,CTF,False,36,-32.45,0.052,0.28,4,0.62,-25.0,cut,0.37,1012.21,1022.79,1012.21,1017.36,0.087933,3.6717,3.5352,-0.1365,0.1365,3.5987,-11.66,3.611,0.0123
2024-08-14,11696,2024-09-18,CTF,False,35,-31.45,0.052,0.3,4,0.62,-25.0,cut,0.37,1023.7,1024.49,1010.26,1022.18,0.085758,3.6119,3.5177,-0.0942,0.0942,3.6452,-0.34,3.607,-0.0382
2024-08-15,11696,2024-09-18,CTF,False,34,-29.4748,0.056,0.490004,4,0.72,-25.0,cut,0.47,1023.83,1027.02,1017.61,1020.95,0.091826,3.5144,3.5423,0.0279,0.0279,3.6717,6.27,3.6066,-0.0651
2024-08-16,11696,2024-09-18,CTF,False,33,-26.175,0.066,0.69,4,0.81,-25.0,cut,0.56,1023.5,1032.99,1023.5,1029.35,0.094166,3.5236,3.5427,0.0191,0.0191,3.6119,0.29,3.6062,-0.0057
2024-08-19,11696,2024-09-18,CTF,False,30,-26.95,0.069,0.66,4,0.8,-25.0,cut,0.55,1029.75,1038.89,1028.59,1035.34,0.099262,3.5471,3.4455,-0.1016,0.1016,3.5144,-7.55,3.6051,0.0907
2024-08-20,11696,2024-09-18,CTF,False,29,-27.7445,0.063,0.63078,4,0.79078,-25.0,cut,0.54078,1036.75,1047.22,1035.76,1040.64,0.079807,3.3436,3.4316,0.088,0.088,3.5236,-6.63,3.6032,0.0796
2024-08-21,11696,2024-09-18,CTF,False,28,-27.975,0.058171,0.61,4,0.78,-25.0,cut,0.53,1040.58,1046.37,1039.16,1046.37,0.091698,3.1973,3.1089,-0.0884,0.0884,3.5471,-3.07,3.6027,0.0556
2024-08-22,11696,2024-09-18,CTF,False,27,-28.725,0.051,0.49,4,0.71,-25.0,cut,0.46,1045.45,1063.35,1043.22,1058.04,0.051766,3.1962,3.2039,0.0077,0.0077,3.3436,-11.49,3.6001,0.2565
2024-08-23,11696,2024-09-18,CTF,False,26,-27.725,0.054,0.57,4,0.75,-25.0,cut,0.5,1057.75,1058.76,1052.01,1056.87,0.049684,3.2314,3.1178,-0.1136,0.1136,3.1973,-26.12,3.5973,0.4
2024-08-26,11696,2024-09-18,CTF,False,23,-29.675,0.038259,0.53,4,0.75,-25.0,cut,0.5,1065.42,1082.54,1065.42,1074.71,0.035479,3.2189,3.135,-0.0839,0.0839,3.1962,-47.94,3.5944,0.3982
