snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2024-01-22,M1GU,0.00027956613,-9.000334e-05,0.001391487,0.00065045635,-8.795531e-05,-5.240714e-05,-0.0004266159,-0.00033623033,0.0003096706,-0.00022422007,0.0,0.0,0.0004471482,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,-0.04223527276206654
2024-01-23,BUOU,0.00027927707,8.025477e-05,0.001391487,0.0006208428,1.8759938e-05,-0.00012748965,-0.0004266159,-0.0003673276,0.00029789846,-0.00030916304,0.0,0.0,0.0003942372,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00010980992,0.0,0.03482278792783393
2024-01-24,M44U,-2.93809e-06,8.025477e-05,0.0013929261,0.00062957045,-8.795531e-05,-5.240714e-05,-0.0004266159,-0.00033857202,0.0003096706,-5.778137e-05,0.0,0.0,0.00044860755,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00015240812,0.0,-0.003633685239152612
2024-01-25,OXMU,-0.066456,-0.00030417932,-0.034459412,-0.0012067378,-0.0017801144,-0.015261763,-0.00821287,-0.0014303202,-0.025494503,-0.0035378067,0.0,0.0,-9.529601e-05,0.0,0.0,0.0029980424,0.0,0.0,0.0,0.0,0.0,-0.0018835193,0.0,-0.3354646327664737
2024-01-30,BTOU,0.0029685432,2.2919907e-05,-0.063574746,0.00461537,-0.00016354184,-0.02660335,-0.0018636073,-0.0005295713,-0.0017415448,-0.007814482,0.0,0.0,-0.0010856951,0.0,0.0,0.00301999,0.0,0.0,0.0,0.0,0.0,-0.00013798385,0.0,-0.07408054072337569
2024-02-02,J69U,0.00041552345,-9.000334e-05,0.0010084752,0.0012321568,-6.5741166e-05,-0.00036612942,-0.0003958012,0.00012788543,0.00023623183,-0.00033135884,0.0,0.0,4.705958e-05,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.023337068265061767
2024-02-06,M44U,-0.0011404668,0.000104293846,0.002138538,0.0011566472,-6.5741166e-05,-0.0013328225,-0.00027010308,0.001396428,0.00017050657,-0.0006209699,0.0,0.0,0.00031585083,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00010980992,0.0,0.015120166240458775
2024-02-07,N2IU,-0.00093886,3.8026843e-05,0.0019549525,0.0011905105,-6.5741166e-05,-0.0013328225,-0.00026531005,0.0015448115,0.00023623183,-0.0006209699,0.0,0.0,4.705958e-05,0.0,0.0,0.00020502145,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.014632653354415857
2024-02-13,A17U,-5.425555e-05,1.398777e-05,0.002138538,0.0011743822,4.0974097e-05,-0.0013328225,-0.00027010308,0.00040879793,0.00018186145,-0.00047575138,0.0,0.0,-7.3107876e-06,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,0.040475596766947994
2024-02-13,BTOU,0.020472609,2.2919907e-05,0.0025256502,0.0048719654,0.00096969155,-0.0036023844,-0.008845525,0.0035036337,0.0066099684,-0.00090324524,0.0,0.0,-0.0034185774,0.0,0.0,0.00013825155,0.0,0.0,0.0,0.0,0.0,1.3203415e-05,0.0,-0.014640566186837761
2024-02-22,N2IU,-0.00067903823,3.8026843e-05,0.00040104764,0.001226593,0.00021908058,-0.00032536584,-0.00014276823,0.0006199034,0.001009205,-0.000553282,0.0,0.0,4.705958e-05,0.0,0.0,0.0001324489,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.02365532469600686
2024-02-22,OXMU,0.022708988,-0.00017614913,-0.0067861276,0.009146942,0.0040356293,0.0032946453,-0.005352678,0.0055286027,0.018272493,-0.0030329465,0.0,0.0,0.00023780235,0.0,0.0,0.00024201533,0.0,0.0,0.0,0.0,0.0,-0.0013035731,0.0,0.20691840709796178
